County,State,Labor Force,Employed,Unemployed,Unemployment Rate,Year
De Baca County,NM,768,733,35,4.6,2018
Dona Ana County,NM,"96,769","91,299","5,470",5.7,2018
Eddy County,NM,"31,376","30,331","1,045",3.3,2018
Grant County,NM,"12,248","11,647",601,4.9,2018
Guadalupe County,NM,"1,624","1,534",90,5.5,2018
Harding County,NM,283,268,15,5.3,2018
Hidalgo County,NM,"2,190","2,106",84,3.8,2018
Lea County,NM,"29,873","28,642","1,231",4.1,2018
Lincoln County,NM,"8,702","8,306",396,4.6,2018
Los Alamos County,NM,"9,098","8,790",308,3.4,2018
Luna County,NM,"10,107","8,904","1,203",11.9,2018
McKinley County,NM,"23,810","22,111","1,699",7.1,2018
Mora County,NM,"2,266","2,127",139,6.1,2018
Otero County,NM,"24,601","23,398","1,203",4.9,2018
Quay County,NM,"3,202","3,047",155,4.8,2018
Rio Arriba County,NM,"16,670","15,802",868,5.2,2018
Roosevelt County,NM,"7,875","7,533",342,4.3,2018
Sandoval County,NM,"64,633","61,416","3,217",5,2018
San Juan County,NM,"52,537","49,508","3,029",5.8,2018
San Miguel County,NM,"10,939","10,289",650,5.9,2018
Santa Fe County,NM,"73,974","70,909","3,065",4.1,2018
Sierra County,NM,"4,097","3,808",289,7.1,2018
Socorro County,NM,"6,455","6,112",343,5.3,2018
Taos County,NM,"14,985","14,010",975,6.5,2018
Torrance County,NM,"5,603","5,176",427,7.6,2018
Union County,NM,"1,773","1,714",59,3.3,2018
Valencia County,NM,"30,234","28,584","1,650",5.5,2018
Albany County,NY,"158,835","152,991","5,844",3.7,2018
Allegany County,NY,"19,461","18,365","1,096",5.6,2018
Bronx County,NY,"605,864","571,545","34,319",5.7,2018
Broome County,NY,"84,592","80,477","4,115",4.9,2018
Cattaraugus County,NY,"34,020","32,200","1,820",5.3,2018
Cayuga County,NY,"35,954","34,344","1,610",4.5,2018
Chautauqua County,NY,"54,993","52,227","2,766",5,2018
Chemung County,NY,"35,373","33,724","1,649",4.7,2018
Chenango County,NY,"22,416","21,369","1,047",4.7,2018
Clinton County,NY,"36,428","34,831","1,597",4.4,2018
Columbia County,NY,"31,426","30,383","1,043",3.3,2018
Cortland County,NY,"22,927","21,762","1,165",5.1,2018
Delaware County,NY,"19,244","18,316",928,4.8,2018
Dutchess County,NY,"143,934","138,629","5,305",3.7,2018
Erie County,NY,"443,446","423,872","19,574",4.4,2018
Essex County,NY,"17,078","16,244",834,4.9,2018
Franklin County,NY,"19,647","18,633","1,014",5.2,2018
Fulton County,NY,"22,877","21,711","1,166",5.1,2018
Genesee County,NY,"29,796","28,551","1,245",4.2,2018
Greene County,NY,"20,735","19,800",935,4.5,2018
Hamilton County,NY,"2,296","2,139",157,6.8,2018
Herkimer County,NY,"27,990","26,616","1,374",4.9,2018
Jefferson County,NY,"44,691","42,181","2,510",5.6,2018
Kings County,NY,"1,211,721","1,160,501","51,220",4.2,2018
Lewis County,NY,"11,677","11,030",647,5.5,2018
Livingston County,NY,"30,827","29,494","1,333",4.3,2018
Madison County,NY,"32,630","31,066","1,564",4.8,2018
Monroe County,NY,"362,858","347,399","15,459",4.3,2018
Montgomery County,NY,"22,436","21,281","1,155",5.1,2018
Nassau County,NY,"707,875","682,848","25,027",3.5,2018
New York County,NY,"919,101","885,351","33,750",3.7,2018
Niagara County,NY,"99,138","93,941","5,197",5.2,2018
Oneida County,NY,"101,729","97,231","4,498",4.4,2018
Onondaga County,NY,"220,771","211,945","8,826",4,2018
Ontario County,NY,"55,149","52,977","2,172",3.9,2018
Orange County,NY,"182,241","175,086","7,155",3.9,2018
Orleans County,NY,"17,616","16,746",870,4.9,2018
Oswego County,NY,"52,824","49,932","2,892",5.5,2018
Otsego County,NY,"28,170","26,945","1,225",4.3,2018
Putnam County,NY,"51,085","49,199","1,886",3.7,2018
Queens County,NY,"1,162,225","1,120,459","41,766",3.6,2018
Rensselaer County,NY,"81,358","78,192","3,166",3.9,2018
Richmond County,NY,"220,621","211,509","9,112",4.1,2018
Rockland County,NY,"154,676","148,901","5,775",3.7,2018
St. Lawrence County,NY,"43,515","41,067","2,448",5.6,2018
Saratoga County,NY,"118,982","114,795","4,187",3.5,2018
Schenectady County,NY,"76,303","73,240","3,063",4,2018
Schoharie County,NY,"14,774","14,062",712,4.8,2018
Schuyler County,NY,"8,268","7,845",423,5.1,2018
Seneca County,NY,"16,087","15,465",622,3.9,2018
Steuben County,NY,"42,816","40,710","2,106",4.9,2018
Suffolk County,NY,"777,784","747,832","29,952",3.9,2018
Sullivan County,NY,"35,947","34,475","1,472",4.1,2018
Tioga County,NY,"22,772","21,773",999,4.4,2018
Tompkins County,NY,"50,112","48,283","1,829",3.6,2018
Ulster County,NY,"88,712","85,260","3,452",3.9,2018
Warren County,NY,"31,709","30,236","1,473",4.6,2018
Washington County,NY,"28,164","26,999","1,165",4.1,2018
Wayne County,NY,"43,877","42,054","1,823",4.2,2018
Westchester County,NY,"484,256","465,428","18,828",3.9,2018
Wyoming County,NY,"18,093","17,255",838,4.6,2018
Yates County,NY,"11,783","11,336",447,3.8,2018
Alamance County,NC,"80,583","77,625","2,958",3.7,2018
Alexander County,NC,"18,023","17,453",570,3.2,2018
Alleghany County,NC,"4,305","4,111",194,4.5,2018
Anson County,NC,"10,407","9,942",465,4.5,2018
Ashe County,NC,"12,750","12,292",458,3.6,2018
Avery County,NC,"7,639","7,361",278,3.6,2018
Beaufort County,NC,"19,739","18,839",900,4.6,2018
Bertie County,NC,"7,832","7,445",387,4.9,2018
Bladen County,NC,"14,418","13,659",759,5.3,2018
Brunswick County,NC,"52,867","50,144","2,723",5.2,2018
