County,State,Labor Force,Employed,Unemployed,Unemployment Rate,Year
Marshall County,IL,"7,345","7,027",318,4.3,2007
Mason County,IL,"7,425","6,943",482,6.5,2007
Massac County,IL,"7,668","7,240",428,5.6,2007
Menard County,IL,"6,978","6,671",307,4.4,2007
Mercer County,IL,"8,990","8,508",482,5.4,2007
Monroe County,IL,"18,611","17,829",782,4.2,2007
Montgomery County,IL,"13,676","12,784",892,6.5,2007
Morgan County,IL,"18,106","17,225",881,4.9,2007
Moultrie County,IL,"8,192","7,897",295,3.6,2007
Ogle County,IL,"28,026","26,481","1,545",5.5,2007
Peoria County,IL,"97,797","93,323","4,474",4.6,2007
Perry County,IL,"10,033","9,209",824,8.2,2007
Piatt County,IL,"9,084","8,742",342,3.8,2007
Pike County,IL,"8,797","8,400",397,4.5,2007
Pope County,IL,"1,976","1,839",137,6.9,2007
Pulaski County,IL,"2,946","2,738",208,7.1,2007
Putnam County,IL,"3,235","3,049",186,5.7,2007
Randolph County,IL,"15,727","14,913",814,5.2,2007
Richland County,IL,"7,836","7,471",365,4.7,2007
Rock Island County,IL,"80,369","76,766","3,603",4.5,2007
St. Clair County,IL,"125,692","118,080","7,612",6.1,2007
Saline County,IL,"12,751","11,941",810,6.4,2007
Sangamon County,IL,"108,005","103,218","4,787",4.4,2007
Schuyler County,IL,"4,447","4,269",178,4,2007
Scott County,IL,"2,790","2,648",142,5.1,2007
Shelby County,IL,"11,259","10,721",538,4.8,2007
Stark County,IL,"3,004","2,852",152,5.1,2007
Stephenson County,IL,"25,541","24,248","1,293",5.1,2007
Tazewell County,IL,"73,660","70,563","3,097",4.2,2007
Union County,IL,"8,437","7,863",574,6.8,2007
Vermilion County,IL,"37,863","35,545","2,318",6.1,2007
Wabash County,IL,"6,438","6,088",350,5.4,2007
Warren County,IL,"9,232","8,822",410,4.4,2007
Washington County,IL,"8,553","8,165",388,4.5,2007
Wayne County,IL,"8,444","8,048",396,4.7,2007
White County,IL,"8,035","7,626",409,5.1,2007
Whiteside County,IL,"30,904","29,275","1,629",5.3,2007
Will County,IL,"361,414","344,122","17,292",4.8,2007
Williamson County,IL,"36,347","34,021","2,326",6.4,2007
Winnebago County,IL,"149,201","140,334","8,867",5.9,2007
Woodford County,IL,"21,530","20,794",736,3.4,2007
Adams County,IN,"15,959","15,277",682,4.3,2007
Allen County,IN,"180,707","172,101","8,606",4.8,2007
Bartholomew County,IN,"38,544","37,156","1,388",3.6,2007
Benton County,IN,"4,337","4,146",191,4.4,2007
Blackford County,IN,"6,550","6,172",378,5.8,2007
Boone County,IN,"27,960","26,995",965,3.5,2007
Brown County,IN,"7,614","7,280",334,4.4,2007
Carroll County,IN,"9,926","9,523",403,4.1,2007
Cass County,IN,"18,673","17,758",915,4.9,2007
Clark County,IN,"55,140","52,748","2,392",4.3,2007
Clay County,IN,"12,878","12,132",746,5.8,2007
Clinton County,IN,"16,769","16,013",756,4.5,2007
Crawford County,IN,"5,238","4,920",318,6.1,2007
Daviess County,IN,"15,123","14,660",463,3.1,2007
Dearborn County,IN,"26,093","24,778","1,315",5,2007
Decatur County,IN,"12,309","11,751",558,4.5,2007
DeKalb County,IN,"20,698","19,564","1,134",5.5,2007
Delaware County,IN,"55,139","52,222","2,917",5.3,2007
Dubois County,IN,"22,150","21,470",680,3.1,2007
Elkhart County,IN,"101,303","96,658","4,645",4.6,2007
Fayette County,IN,"10,431","9,675",756,7.2,2007
Floyd County,IN,"37,949","36,375","1,574",4.1,2007
Fountain County,IN,"8,652","8,289",363,4.2,2007
Franklin County,IN,"11,785","11,135",650,5.5,2007
Fulton County,IN,"10,364","9,863",501,4.8,2007
Gibson County,IN,"16,759","15,994",765,4.6,2007
Grant County,IN,"31,680","29,731","1,949",6.2,2007
Greene County,IN,"15,810","15,000",810,5.1,2007
Hamilton County,IN,"140,741","136,618","4,123",2.9,2007
Hancock County,IN,"35,818","34,470","1,348",3.8,2007
Harrison County,IN,"19,410","18,538",872,4.5,2007
Hendricks County,IN,"72,418","70,048","2,370",3.3,2007
Henry County,IN,"22,464","21,164","1,300",5.8,2007
Howard County,IN,"37,588","35,523","2,065",5.5,2007
Huntington County,IN,"20,025","19,076",949,4.7,2007
Jackson County,IN,"21,892","21,036",856,3.9,2007
Jasper County,IN,"15,511","14,775",736,4.7,2007
Jay County,IN,"11,609","11,105",504,4.3,2007
Jefferson County,IN,"17,081","16,243",838,4.9,2007
Jennings County,IN,"13,665","12,964",701,5.1,2007
Johnson County,IN,"73,207","70,649","2,558",3.5,2007
Knox County,IN,"19,724","18,934",790,4,2007
Kosciusko County,IN,"41,085","39,272","1,813",4.4,2007
LaGrange County,IN,"17,028","16,196",832,4.9,2007
Lake County,IN,"226,108","214,416","11,692",5.2,2007
LaPorte County,IN,"52,577","49,915","2,662",5.1,2007
Lawrence County,IN,"22,133","20,696","1,437",6.5,2007
Madison County,IN,"60,540","56,701","3,839",6.3,2007
Marion County,IN,"460,046","439,218","20,828",4.5,2007
Marshall County,IN,"22,795","21,693","1,102",4.8,2007
Martin County,IN,"5,133","4,933",200,3.9,2007
Miami County,IN,"16,465","15,532",933,5.7,2007
Monroe County,IN,"68,676","66,116","2,560",3.7,2007
Montgomery County,IN,"19,251","18,509",742,3.9,2007
Morgan County,IN,"36,810","35,273","1,537",4.2,2007
Newton County,IN,"6,967","6,601",366,5.3,2007
Noble County,IN,"23,161","21,903","1,258",5.4,2007
Ohio County,IN,"3,026","2,877",149,4.9,2007
Orange County,IN,"10,455","9,918",537,5.1,2007
Owen County,IN,"11,192","10,641",551,4.9,2007
Parke County,IN,"8,025","7,626",399,5,2007
Perry County,IN,"9,706","9,275",431,4.4,2007
Pike County,IN,"6,007","5,749",258,4.3,2007
Porter County,IN,"83,076","79,893","3,183",3.8,2007
Posey County,IN,"13,364","12,796",568,4.3,2007
Pulaski County,IN,"6,800","6,518",282,4.1,2007
Putnam County,IN,"17,518","16,581",937,5.3,2007
Randolph County,IN,"12,656","11,942",714,5.6,2007
Ripley County,IN,"13,911","13,280",631,4.5,2007
Rush County,IN,"9,448","9,020",428,4.5,2007
St. Joseph County,IN,"132,785","126,293","6,492",4.9,2007
Scott County,IN,"11,053","10,473",580,5.2,2007
Shelby County,IN,"23,582","22,557","1,025",4.3,2007
Spencer County,IN,"10,427","9,992",435,4.2,2007
Starke County,IN,"10,453","9,835",618,5.9,2007
Steuben County,IN,"16,494","15,506",988,6,2007
Sullivan County,IN,"8,918","8,426",492,5.5,2007
Switzerland County,IN,"5,687","5,466",221,3.9,2007
Tippecanoe County,IN,"81,511","78,292","3,219",3.9,2007
Tipton County,IN,"7,708","7,349",359,4.7,2007
Union County,IN,"3,619","3,449",170,4.7,2007
Vanderburgh County,IN,"90,815","86,554","4,261",4.7,2007
Vermillion County,IN,"7,890","7,447",443,5.6,2007
Vigo County,IN,"50,120","47,466","2,654",5.3,2007
Wabash County,IN,"16,993","16,173",820,4.8,2007
Warren County,IN,"4,991","4,831",160,3.2,2007
Warrick County,IN,"30,489","29,304","1,185",3.9,2007
Washington County,IN,"14,011","13,277",734,5.2,2007
Wayne County,IN,"33,800","31,984","1,816",5.4,2007
Wells County,IN,"14,671","14,062",609,4.2,2007
White County,IN,"12,286","11,744",542,4.4,2007
Whitley County,IN,"17,736","16,943",793,4.5,2007
Adair County,IA,"4,400","4,246",154,3.5,2007
Adams County,IA,"2,099","2,012",87,4.1,2007
Allamakee County,IA,"8,163","7,775",388,4.8,2007
Appanoose County,IA,"5,958","5,551",407,6.8,2007
Audubon County,IA,"3,276","3,148",128,3.9,2007
Benton County,IA,"14,271","13,716",555,3.9,2007
Black Hawk County,IA,"72,687","69,979","2,708",3.7,2007
Boone County,IA,"15,484","14,979",505,3.3,2007
Bremer County,IA,"13,831","13,401",430,3.1,2007
Buchanan County,IA,"11,031","10,571",460,4.2,2007
Buena Vista County,IA,"10,388","10,060",328,3.2,2007
Butler County,IA,"8,260","7,929",331,4,2007
Calhoun County,IA,"5,215","5,045",170,3.3,2007
Carroll County,IA,"12,239","11,918",321,2.6,2007
Cass County,IA,"7,605","7,291",314,4.1,2007
Cedar County,IA,"10,899","10,547",352,3.2,2007
Cerro Gordo County,IA,"25,646","24,645","1,001",3.9,2007
Cherokee County,IA,"6,624","6,385",239,3.6,2007
Chickasaw County,IA,"6,535","6,263",272,4.2,2007
Clarke County,IA,"4,826","4,626",200,4.1,2007
Clay County,IA,"9,756","9,453",303,3.1,2007
Clayton County,IA,"9,742","9,273",469,4.8,2007
Clinton County,IA,"27,443","26,422","1,021",3.7,2007
Crawford County,IA,"9,302","8,996",306,3.3,2007
Dallas County,IA,"32,546","31,617",929,2.9,2007
Davis County,IA,"4,080","3,896",184,4.5,2007
Decatur County,IA,"4,196","4,026",170,4.1,2007
Delaware County,IA,"10,770","10,388",382,3.5,2007
Des Moines County,IA,"21,064","20,134",930,4.4,2007
Dickinson County,IA,"9,744","9,364",380,3.9,2007
Dubuque County,IA,"52,040","49,974","2,066",4,2007
Emmet County,IA,"5,928","5,710",218,3.7,2007
Fayette County,IA,"10,903","10,425",478,4.4,2007
Floyd County,IA,"8,712","8,323",389,4.5,2007
Franklin County,IA,"5,964","5,755",209,3.5,2007
Fremont County,IA,"3,957","3,798",159,4,2007
Greene County,IA,"4,989","4,813",176,3.5,2007
Grundy County,IA,"6,805","6,589",216,3.2,2007
Guthrie County,IA,"5,857","5,634",223,3.8,2007
Hamilton County,IA,"8,645","8,369",276,3.2,2007
Hancock County,IA,"6,038","5,811",227,3.8,2007
Hardin County,IA,"9,057","8,714",343,3.8,2007
Harrison County,IA,"7,780","7,455",325,4.2,2007
Henry County,IA,"10,313","9,830",483,4.7,2007
Howard County,IA,"5,243","5,052",191,3.6,2007
Humboldt County,IA,"5,199","5,039",160,3.1,2007
Ida County,IA,"4,035","3,901",134,3.3,2007
Iowa County,IA,"8,612","8,295",317,3.7,2007
Jackson County,IA,"11,174","10,654",520,4.7,2007
Jasper County,IA,"17,936","16,803","1,133",6.3,2007
Jefferson County,IA,"8,370","8,027",343,4.1,2007
Johnson County,IA,"77,590","75,493","2,097",2.7,2007
Jones County,IA,"10,453","10,021",432,4.1,2007
Keokuk County,IA,"5,629","5,394",235,4.2,2007
Kossuth County,IA,"8,980","8,658",322,3.6,2007
Lee County,IA,"17,332","16,341",991,5.7,2007
Linn County,IA,"118,163","113,836","4,327",3.7,2007
Louisa County,IA,"6,431","6,196",235,3.7,2007
Lucas County,IA,"4,774","4,590",184,3.9,2007
Lyon County,IA,"6,681","6,521",160,2.4,2007
Madison County,IA,"8,278","7,937",341,4.1,2007
Mahaska County,IA,"11,747","11,322",425,3.6,2007
Marion County,IA,"17,815","17,179",636,3.6,2007
Marshall County,IA,"20,469","19,644",825,4,2007
Mills County,IA,"8,086","7,787",299,3.7,2007
Mitchell County,IA,"5,571","5,386",185,3.3,2007
Monona County,IA,"4,585","4,334",251,5.5,2007
Monroe County,IA,"4,174","4,002",172,4.1,2007
Montgomery County,IA,"5,554","5,209",345,6.2,2007
Muscatine County,IA,"23,997","23,188",809,3.4,2007
O'Brien County,IA,"7,741","7,508",233,3,2007
Osceola County,IA,"3,349","3,238",111,3.3,2007
Page County,IA,"8,375","7,991",384,4.6,2007
Palo Alto County,IA,"5,437","5,254",183,3.4,2007
Plymouth County,IA,"14,433","13,994",439,3,2007
Pocahontas County,IA,"4,132","4,001",131,3.2,2007
Polk County,IA,"237,576","229,306","8,270",3.5,2007
Pottawattamie County,IA,"48,121","46,077","2,044",4.2,2007
Poweshiek County,IA,"10,749","10,329",420,3.9,2007
Ringgold County,IA,"2,455","2,353",102,4.2,2007
Sac County,IA,"5,798","5,599",199,3.4,2007
Scott County,IA,"88,870","85,553","3,317",3.7,2007
Shelby County,IA,"7,539","7,295",244,3.2,2007
Sioux County,IA,"19,339","18,850",489,2.5,2007
Story County,IA,"48,044","46,713","1,331",2.8,2007
Tama County,IA,"8,983","8,594",389,4.3,2007
Taylor County,IA,"3,357","3,221",136,4.1,2007
Union County,IA,"6,580","6,312",268,4.1,2007
Van Buren County,IA,"3,951","3,783",168,4.3,2007
Wapello County,IA,"18,850","18,034",816,4.3,2007
Warren County,IA,"25,475","24,644",831,3.3,2007
Washington County,IA,"11,943","11,536",407,3.4,2007
Wayne County,IA,"3,208","3,063",145,4.5,2007
Webster County,IA,"19,830","19,045",785,4,2007
Winnebago County,IA,"5,767","5,568",199,3.5,2007
Winneshiek County,IA,"12,425","11,973",452,3.6,2007
Woodbury County,IA,"54,875","52,748","2,127",3.9,2007
Worth County,IA,"4,525","4,356",169,3.7,2007
Wright County,IA,"7,003","6,729",274,3.9,2007
Allen County,KS,"7,497","7,194",303,4,2007
Anderson County,KS,"4,144","3,949",195,4.7,2007
Atchison County,KS,"8,781","8,376",405,4.6,2007
Barber County,KS,"2,618","2,534",84,3.2,2007
